Title,Price,Time,Min Age,Max Age,Min Players,Max Players,Price Scaled,Time Scaled,Min Age Scaled,Max Age Scaled,Min Players Scaled,Max Players Scaled,average,avg_rating,avgweight,baverage,geek_rating,name,numcomments,numfans,numgeeklists,numhasparts,numowned,numplays,numplays_month,numprevowned,numtrading,numwanting,numwantparts,numweights,numwish,numwishlistcomments,playmonth,rank,stddev,usersrated,views,voters
Rio de la Plata,49,0,13,99,3,5,0.2462311557788945,0.0,0.6875,1.0,0.3333333333333333,0.0505050505050505,6.42599,6.43,3.725,5.67666,5.677,Río de la Plata (2010),123,17.0,382,0,608,296,0,103,55,15,0,40,69,22,2017-11,4260,1.70812,252,60915,252
Dominion: Cornucopia,29,0,13,99,2,6,0.1457286432160804,0.0,0.6875,1.0,0.16666666666666666,0.060606060606060615,7.73725,7.74,2.4118,7.3229,7.323,Dominion: Cornucopia (2011),839,185.0,505,3,11354,15022,36,489,94,274,5,221,969,135,2017-11,N/A,1.23618,4916,241734,4916
Heavens of Olympus,44,0,13,99,3,5,0.22110552763819094,0.0,0.6875,1.0,0.3333333333333333,0.0505050505050505,5.75161,5.75,2.7857,5.52471,5.525,The Heavens of Olympus (2011),76,17.0,324,1,354,137,0,85,55,2,0,14,57,5,2017-11,9990,1.43872,124,55815,124
Airlines Europe,59,0,13,99,2,5,0.2964824120603015,0.0,0.6875,1.0,0.16666666666666666,0.0505050505050505,7.3647,7.36,2.4352,7.0718,7.072,Airlines Europe (2011),1497,179.0,1560,3,6738,13200,85,773,162,586,5,386,1952,334,2017-11,282,1.1725,5707,379554,5707
Artus,34,0,13,99,2,4,0.1708542713567839,0.0,0.6875,1.0,0.16666666666666666,0.040404040404040414,6.30507,6.31,2.2381,5.87539,5.875,Artus (2011),317,14.0,407,0,1358,1978,3,233,52,67,0,84,188,34,2017-11,2594,1.29836,887,74845,887
Dominion: Hinterlands,39,0,13,99,2,6,0.19597989949748745,0.0,0.6875,1.0,0.16666666666666666,0.060606060606060615,8.0123,8.01,2.544,7.52356,7.524,Dominion: Hinterlands (2011),731,171.0,434,5,11088,16016,76,352,80,335,1,193,1202,167,2017-11,N/A,1.14716,4592,219979,4592
Famiglia - solo,0,0,13,99,2,0,0.0,0.0,0.6875,1.0,0.16666666666666666,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,19,0,13,99,1,1,0.09547738693467336,0.0,0.6875,1.0,0.0,0.010101010101010102,7.23688,7.24,2.1175,7.05341,7.053,Friday (2011),2402,536.0,3052,7,18360,53882,830,1555,542,358,7,553,1807,414,2017-11,291,1.16357,10248,477311,10248
Power Grid: First Sparks,44,0,13,99,2,6,0.22110552763819094,0.0,0.6875,1.0,0.16666666666666666,0.060606060606060615,6.86924,6.87,2.6906,6.52732,6.527,Power Grid: The First Sparks (2011),747,85.0,1172,3,3865,5978,13,691,171,171,1,223,690,159,2017-11,825,1.25228,3061,231922,3061
Power Grid: the Robots,9,0,13,99,2,0,0.04522613065326633,0.0,0.6875,1.0,0.16666666666666666,0.0,7.16444,7.16,2.8475,6.32367,6.324,Power Grid: The Robots (2011),380,29.0,247,0,5277,745,6,288,77,89,2,59,308,80,2017-11,N/A,1.37105,1003,123899,1003
